sample	samples	SH3PXD2B	CTTN	WASL	GRB2	SRC	CD2AP	CAPZA1	sample_type
TCGA-CA-6719-01	TCGA-CA-6719-01	10.52	11.88	10.99	11.58	11.64	11.59	11.59	Primary Tumor
TCGA-A6-6653-01	TCGA-A6-6653-01	10.51	12.41	10.35	11.62	11.62	11.77	12.04	Primary Tumor
TCGA-D5-5538-01	TCGA-D5-5538-01	10.51	12.23	10.53	12.23	11.06	11.7	12.33	Primary Tumor
TCGA-D5-6898-01	TCGA-D5-6898-01	10.5	13.04	11.1	11.7	11.82	11.21	12.06	Primary Tumor
TCGA-F4-6809-01	TCGA-F4-6809-01	10.5	12.37	10.44	11.1	11.56	10.68	11.55	Primary Tumor
TCGA-AZ-6603-01	TCGA-AZ-6603-01	10.5	12.35	10.76	11.78	11.99	10.96	11.46	Primary Tumor
TCGA-CM-6678-01	TCGA-CM-6678-01	10.5	12.14	10.47	11.8	11.12	10.6	11.46	Primary Tumor
TCGA-DM-A1D9-01	TCGA-DM-A1D9-01	10.49	12.77	10.68	10.8	10.99	11.34	12.13	Primary Tumor
TCGA-F4-6570-01	TCGA-F4-6570-01	10.48	12.71	10.26	11.93	12.2	10.78	11.97	Primary Tumor
TCGA-A6-A567-01	TCGA-A6-A567-01	10.47	12.77	9.916	11.62	11.23	11.29	12.22	Primary Tumor
TCGA-A6-A56B-01	TCGA-A6-A56B-01	10.47	11.49	10.27	11.15	10.55	11.16	11.14	Primary Tumor
TCGA-AZ-6600-01	TCGA-AZ-6600-01	10.46	12.52	11.25	11.45	11.21	11.36	11.71	Primary Tumor
TCGA-AZ-4684-01	TCGA-AZ-4684-01	10.46	12.44	11.31	11.48	11.26	11.38	11.46	Primary Tumor
TCGA-DM-A28C-01	TCGA-DM-A28C-01	10.46	11.67	10.25	11.12	10.9	11.15	11.74	Primary Tumor
TCGA-CM-5344-01	TCGA-CM-5344-01	10.45	12.41	10.7	11.85	11.52	11.37	11.75	Primary Tumor
TCGA-D5-6928-01	TCGA-D5-6928-01	10.45	11.66	10.31	12.14	11.16	11.34	11.55	Primary Tumor
TCGA-AA-3675-01	TCGA-AA-3675-01	10.44	11.54	10.18	11.2	10.97	10.68	12.38	Primary Tumor
TCGA-G4-6588-01	TCGA-G4-6588-01	10.43	12.45	10.74	11.48	11.05	10.27	12.06	Primary Tumor
TCGA-D5-6541-01	TCGA-D5-6541-01	10.43	11.69	10.83	11.73	10.79	11.37	12.06	Primary Tumor
