sample	samples	SH3PXD2B	CTTN	WASL	GRB2	SRC	CD2AP	CAPZA1	sample_type
TCGA-CC-A7IL-01	TCGA-CC-A7IL-01	8.876	12	10.83	11.99	9.345	10.42	11.23	Primary Tumor
TCGA-DD-AAC8-01	TCGA-DD-AAC8-01	8.868	12.48	10.37	12	10.06	11.04	10.79	Primary Tumor
TCGA-BC-A10Y-01	TCGA-BC-A10Y-01	8.863	11.37	11.07	11.75	6.46	9.77	11.11	Primary Tumor
TCGA-ZS-A9CD-01	TCGA-ZS-A9CD-01	8.855	11.79	10.67	11.26	9.366	10.13	10.71	Primary Tumor
TCGA-ZP-A9CZ-01	TCGA-ZP-A9CZ-01	8.854	11.29	10.72	11.71	9.439	10.19	10.96	Primary Tumor
TCGA-DD-AACJ-01	TCGA-DD-AACJ-01	8.842	11.92	10.41	12.34	9.629	10.2	11.06	Primary Tumor
TCGA-DD-AADI-01	TCGA-DD-AADI-01	8.84	11.76	11.04	11.58	9.324	10.21	10.76	Primary Tumor
TCGA-DD-A1EH-01	TCGA-DD-A1EH-01	8.839	11.48	11.53	11.3	8.889	11.83	10.44	Primary Tumor
TCGA-BD-A3ER-01	TCGA-BD-A3ER-01	8.83	11.9	10.32	11.46	9.914	9.662	11.2	Primary Tumor
TCGA-CC-A7IF-01	TCGA-CC-A7IF-01	8.83	11.71	10.72	12.01	8.741	9.269	10.54	Primary Tumor
TCGA-DD-A114-01	TCGA-DD-A114-01	8.818	11.46	11.04	12.26	9.72	10.87	11.8	Primary Tumor
TCGA-DD-AADC-01	TCGA-DD-AADC-01	8.816	11.68	10.93	11.99	9.604	10.42	11.66	Primary Tumor
TCGA-DD-A118-01	TCGA-DD-A118-01	8.811	11.37	10.96	11.81	9.896	10.18	10.42	Primary Tumor
TCGA-CC-A8HV-01	TCGA-CC-A8HV-01	8.808	12.17	10.83	12.12	10.55	10.81	11.39	Primary Tumor
TCGA-CC-A8HT-01	TCGA-CC-A8HT-01	8.803	12.24	10.55	11.69	10.34	10.08	11.74	Primary Tumor
TCGA-ED-A7XP-01	TCGA-ED-A7XP-01	8.795	11.87	11.17	12	9.893	10.35	11.63	Primary Tumor
TCGA-DD-A4NS-01	TCGA-DD-A4NS-01	8.789	11.9	11.12	11.31	9.918	10.66	10.8	Primary Tumor
TCGA-DD-A1EL-01	TCGA-DD-A1EL-01	8.785	13.04	9.618	12.03	10.86	10.31	12.01	Primary Tumor
TCGA-WX-AA44-01	TCGA-WX-AA44-01	8.766	12.11	10.99	11.72	10.55	11.43	11.31	Primary Tumor
TCGA-DD-A1EG-01	TCGA-DD-A1EG-01	8.759	12.91	10.91	11.45	10.66	10.92	11.2	Primary Tumor
TCGA-DD-AAVS-01	TCGA-DD-AAVS-01	8.757	11.95	11.11	11.59	11.05	11.11	11.23	Primary Tumor
TCGA-O8-A75V-01	TCGA-O8-A75V-01	8.753	12.1	10.23	11.8	10.18	9.819	10.89	Primary Tumor
TCGA-ZS-A9CF-01	TCGA-ZS-A9CF-01	8.745	11.61	10.42	12	8.533	9.87	10.69	Primary Tumor
TCGA-5C-AAPD-01	TCGA-5C-AAPD-01	8.74	11.39	10.4	12.15	10.62	9.502	11.51	Primary Tumor
TCGA-EP-A3RK-01	TCGA-EP-A3RK-01	8.734	11.95	10.18	11.78	9.727	9.777	11.17	Primary Tumor
TCGA-BC-4073-01	TCGA-BC-4073-01	8.73	12.45	10.84	12.04	9.661	11.15	12.24	Primary Tumor
TCGA-DD-AAEE-01	TCGA-DD-AAEE-01	8.723	11.76	10.78	12.23	9.57	9.849	11.37	Primary Tumor
TCGA-BC-A10U-01	TCGA-BC-A10U-01	8.718	12.38	11.59	12.27	8.866	10.49	11.61	Primary Tumor
TCGA-MI-A75I-01	TCGA-MI-A75I-01	8.707	12.15	11.15	12.15	9.463	10.83	11.03	Primary Tumor
TCGA-GJ-A9DB-01	TCGA-GJ-A9DB-01	8.707	11.97	10.93	11.11	8.186	10.02	10.67	Primary Tumor
TCGA-UB-AA0U-01	TCGA-UB-AA0U-01	8.704	11.36	11.91	11.42	8.717	10.87	11.14	Primary Tumor
TCGA-CC-A5UE-01	TCGA-CC-A5UE-01	8.703	11.96	10.45	12.06	9.646	10.24	11.98	Primary Tumor
TCGA-CC-5264-01	TCGA-CC-5264-01	8.694	14.1	12.21	11.82	6.653	10.89	11.64	Primary Tumor
TCGA-RC-A7SB-01	TCGA-RC-A7SB-01	8.681	12.87	11.1	11.76	7.744	9.672	11	Primary Tumor
TCGA-DD-AACX-01	TCGA-DD-AACX-01	8.681	12.09	10.68	11.94	9.911	9.783	11.24	Primary Tumor
TCGA-DD-AADK-01	TCGA-DD-AADK-01	8.678	11.73	10.58	11.51	9.602	9.486	10.86	Primary Tumor
TCGA-DD-A4NO-01	TCGA-DD-A4NO-01	8.668	11.85	11.39	11.56	10.04	9.946	11.19	Primary Tumor
TCGA-G3-A3CH-01	TCGA-G3-A3CH-01	8.656	11.47	11.24	11.46	8.751	10.28	10.77	Primary Tumor
TCGA-BC-A10R-01	TCGA-BC-A10R-01	8.639	11.98	11.72	11.33	10.22	10.31	11.03	Primary Tumor
TCGA-DD-AACV-01	TCGA-DD-AACV-01	8.637	10.7	11.72	11.08	5.487	10.06	10.92	Primary Tumor
TCGA-RC-A7SH-01	TCGA-RC-A7SH-01	8.63	12.03	10.66	12.21	10.66	10.39	10.43	Primary Tumor
TCGA-DD-A4NA-01	TCGA-DD-A4NA-01	8.62	12.43	12.12	12.04	10.33	11.65	11.87	Primary Tumor
TCGA-DD-AADM-01	TCGA-DD-AADM-01	8.62	11.67	10.97	11.24	7.042	9.517	10.4	Primary Tumor
TCGA-FV-A3I1-01	TCGA-FV-A3I1-01	8.614	12.11	11.03	11.68	10.44	10.16	11.3	Primary Tumor
TCGA-UB-A7MD-01	TCGA-UB-A7MD-01	8.61	12.24	11.29	11.71	10.47	9.885	11.31	Primary Tumor
TCGA-DD-AACU-01	TCGA-DD-AACU-01	8.603	12.05	11.38	11.64	10.32	10.65	10.55	Primary Tumor
TCGA-ED-A627-01	TCGA-ED-A627-01	8.599	11.64	10.97	11.48	9.573	10.02	11.21	Primary Tumor
TCGA-DD-AAEG-01	TCGA-DD-AAEG-01	8.581	11.83	10.71	11	9.245	9.431	10.11	Primary Tumor
TCGA-DD-A1EK-01	TCGA-DD-A1EK-01	8.58	11.99	11.49	11.66	8.583	9.65	10.58	Primary Tumor
TCGA-G3-A5SM-01	TCGA-G3-A5SM-01	8.579	11.74	11.01	11.71	8.288	9.789	11.04	Primary Tumor
