sample	samples	SH3PXD2B	CTTN	WASL	GRB2	SRC	CD2AP	CAPZA1	sample_type
TCGA-D7-6518-01	TCGA-D7-6518-01	11.42	10.87	11.21	11.34	11.21	10.17	11.25	Primary Tumor
TCGA-HU-A4GY-11	TCGA-HU-A4GY-11	11.41	10.8	11.4	10.95	9.858	9.575	10.33	Solid Tissue Normal
TCGA-D7-A748-01	TCGA-D7-A748-01	11.39	11.33	11.37	11.23	10.56	11.41	11.58	Primary Tumor
TCGA-HU-A4GH-11	TCGA-HU-A4GH-11	11.37	10.95	11.39	10.95	9.96	9.53	10.2	Solid Tissue Normal
TCGA-HF-7136-01	TCGA-HF-7136-01	11.36	11.93	11.09	11.49	11.9	12.49	11.96	Primary Tumor
TCGA-HU-A4HB-11	TCGA-HU-A4HB-11	11.35	10.73	11.57	11.19	10.26	9.645	10.24	Solid Tissue Normal
TCGA-D7-6519-01	TCGA-D7-6519-01	11.34	12.45	10.53	12	12.03	11.57	11.52	Primary Tumor
TCGA-BR-4256-01	TCGA-BR-4256-01	11.34	11.53	10.8	11.81	9.963	11.71	12.33	Primary Tumor
TCGA-BR-4257-01	TCGA-BR-4257-01	11.33	12.33	11.14	11.46	11	11.99	12.02	Primary Tumor
TCGA-3M-AB47-01	TCGA-3M-AB47-01	11.33	11.38	11.34	10.65	10.57	11.45	11.78	Primary Tumor
TCGA-FP-8099-01	TCGA-FP-8099-01	11.32	13.33	11.57	11.16	12.79	11.47	11.48	Primary Tumor
TCGA-BR-7196-01	TCGA-BR-7196-01	11.32	11.81	10.81	11.71	11.91	10.8	11.3	Primary Tumor
TCGA-FP-7829-11	TCGA-FP-7829-11	11.32	11.34	11.49	11.47	10.44	9.667	10.36	Solid Tissue Normal
TCGA-D7-6528-01	TCGA-D7-6528-01	11.31	11.19	11.17	11.2	12.41	11.01	10.68	Primary Tumor
TCGA-BR-A453-01	TCGA-BR-A453-01	11.3	11.15	10.96	11.4	10.83	9.395	10.63	Primary Tumor
TCGA-CG-5719-01	TCGA-CG-5719-01	11.29	12.04	10.98	11.74	11.94	10.55	11.38	Primary Tumor
TCGA-RD-A8MW-01	TCGA-RD-A8MW-01	11.29	11.71	11.35	11.63	11.44	11.7	11.83	Primary Tumor
TCGA-F1-6874-01	TCGA-F1-6874-01	11.26	11.39	11.57	11.6	12.54	12.19	11.72	Primary Tumor
TCGA-VQ-AA6K-01	TCGA-VQ-AA6K-01	11.24	14.34	11.06	11.13	12.64	11.84	11.13	Primary Tumor
TCGA-VQ-A8PP-01	TCGA-VQ-A8PP-01	11.23	12.58	11.77	11.11	10.84	11.91	11.86	Primary Tumor
TCGA-CD-8529-01	TCGA-CD-8529-01	11.2	11.77	11.08	11.75	11.91	10.63	11.68	Primary Tumor
TCGA-CG-4301-01	TCGA-CG-4301-01	11.2	11.39	11.21	11.34	12.27	12.29	11.9	Primary Tumor
TCGA-CD-5798-01	TCGA-CD-5798-01	11.19	11.68	11.02	11.35	11.14	10.87	11.64	Primary Tumor
TCGA-RD-A7BW-01	TCGA-RD-A7BW-01	11.19	11.46	11.58	11.3	10.56	10.78	11.34	Primary Tumor
TCGA-HU-A4GP-11	TCGA-HU-A4GP-11	11.19	11	11.39	11.27	10.21	9.59	10.27	Solid Tissue Normal
TCGA-VQ-A922-01	TCGA-VQ-A922-01	11.18	11.33	11.09	11.95	12.11	9.844	11.55	Primary Tumor
TCGA-HU-A4G3-11	TCGA-HU-A4G3-11	11.18	10.68	11.51	11.03	10.23	9.704	10.1	Solid Tissue Normal
TCGA-BR-4279-01	TCGA-BR-4279-01	11.16	10.32	11.19	11.41	10.39	11.44	12.22	Primary Tumor
TCGA-CG-4304-01	TCGA-CG-4304-01	11.15	11.72	10.91	11.84	10.95	11.59	11.89	Primary Tumor
TCGA-HU-A4GC-11	TCGA-HU-A4GC-11	11.15	10.59	11.45	11.1	10.18	9.461	10.52	Solid Tissue Normal
TCGA-VQ-A94U-01	TCGA-VQ-A94U-01	11.14	11.49	10.83	10.32	11.46	11.14	11.37	Primary Tumor
TCGA-BR-8367-01	TCGA-BR-8367-01	11.13	11.73	11.3	11.14	11.95	11.43	11.48	Primary Tumor
TCGA-BR-A4IU-01	TCGA-BR-A4IU-01	11.13	11.37	11.28	11.23	10.88	10.42	10.92	Primary Tumor
TCGA-R5-A805-01	TCGA-R5-A805-01	11.1	12.22	11.34	11.27	11.69	12.38	11.54	Primary Tumor
TCGA-BR-8683-01	TCGA-BR-8683-01	11.1	11.95	12.14	10.96	12.41	13.58	11.56	Primary Tumor
TCGA-CG-4305-01	TCGA-CG-4305-01	11.09	11.8	11.53	11.45	11.77	11.38	12.03	Primary Tumor
TCGA-BR-6803-01	TCGA-BR-6803-01	11.08	11.58	10.83	11.55	11.57	9.963	11.02	Primary Tumor
TCGA-BR-8485-01	TCGA-BR-8485-01	11.08	11.5	11.18	11.08	11.81	11.76	11.49	Primary Tumor
TCGA-BR-8297-01	TCGA-BR-8297-01	11.06	11.46	11.31	10.99	11.46	10.77	10.88	Primary Tumor
TCGA-BR-8680-01	TCGA-BR-8680-01	11.05	11.45	10.82	11.25	11.2	11.51	11.71	Primary Tumor
TCGA-BR-8373-01	TCGA-BR-8373-01	11.05	11.37	10.97	10.76	12.04	11.81	11.28	Primary Tumor
TCGA-CD-A489-01	TCGA-CD-A489-01	11.05	11.36	11.04	10.88	10.73	11.57	11.35	Primary Tumor
TCGA-CD-A4MG-01	TCGA-CD-A4MG-01	11.04	11.27	11.15	11	10.48	11.21	11.75	Primary Tumor
TCGA-HU-8610-01	TCGA-HU-8610-01	11.04	11.05	10.4	11.22	12.34	11.06	11.1	Primary Tumor
TCGA-VQ-A91Y-01	TCGA-VQ-A91Y-01	11.03	11.92	11.43	11.09	11.42	11.16	11.2	Primary Tumor
TCGA-BR-8588-01	TCGA-BR-8588-01	11.02	11.64	10.94	11.27	10.76	10.83	11.83	Primary Tumor
TCGA-D7-6526-01	TCGA-D7-6526-01	11.01	11.75	14.14	10.86	12.32	11.45	10.7	Primary Tumor
TCGA-CD-A4MI-01	TCGA-CD-A4MI-01	11.01	11.11	11.11	11.48	11.14	11.12	11.87	Primary Tumor
TCGA-CG-4449-01	TCGA-CG-4449-01	10.99	10.97	10.42	11.2	11.05	11.44	12.42	Primary Tumor
TCGA-D7-8579-01	TCGA-D7-8579-01	10.98	11.64	10.78	11.12	11.63	11.01	10.92	Primary Tumor
TCGA-D7-8570-01	TCGA-D7-8570-01	10.98	10.9	10.56	11.99	12.64	10.76	11.21	Primary Tumor
TCGA-BR-7723-01	TCGA-BR-7723-01	10.98	10.6	10.71	11.58	12.61	11.12	11.4	Primary Tumor
TCGA-IN-A7NR-01	TCGA-IN-A7NR-01	10.97	11.62	11.24	10.92	10.88	11.69	11.66	Primary Tumor
TCGA-BR-6801-01	TCGA-BR-6801-01	10.97	11.46	10.4	11.21	11.56	10.63	11.55	Primary Tumor
TCGA-CD-A4MJ-01	TCGA-CD-A4MJ-01	10.96	11.93	11.49	11.19	11.83	12.22	11.79	Primary Tumor
TCGA-IP-7968-01	TCGA-IP-7968-01	10.93	11.87	11.29	11.11	12.02	11.74	10.56	Primary Tumor
TCGA-CD-5803-01	TCGA-CD-5803-01	10.93	11.28	10.57	11.64	11.36	10.8	11.57	Primary Tumor
TCGA-HU-A4GN-11	TCGA-HU-A4GN-11	10.93	11.02	11.34	11.04	10.75	10.82	10.71	Solid Tissue Normal
TCGA-D7-A4Z0-01	TCGA-D7-A4Z0-01	10.92	11.81	11.26	10.98	11.08	11.82	11.89	Primary Tumor
TCGA-BR-8284-01	TCGA-BR-8284-01	10.92	11.61	11.26	11.48	11.37	11.23	11.75	Primary Tumor
TCGA-BR-8058-01	TCGA-BR-8058-01	10.91	13.22	11.08	11.71	11.49	10.95	11.36	Primary Tumor
TCGA-VQ-A8P5-01	TCGA-VQ-A8P5-01	10.91	11.81	10.99	11.65	11.93	12.19	11.48	Primary Tumor
TCGA-BR-6706-01	TCGA-BR-6706-01	10.91	11.63	10.85	11.77	12.09	11.02	11.46	Primary Tumor
TCGA-D7-A4YT-01	TCGA-D7-A4YT-01	10.91	10.56	10.71	11.25	10.52	12.2	11.94	Primary Tumor
TCGA-RD-A8N1-01	TCGA-RD-A8N1-01	10.9	12.28	10.42	10.99	12.21	11.25	11.18	Primary Tumor
TCGA-VQ-A8PC-01	TCGA-VQ-A8PC-01	10.9	11.19	11.09	10.84	12.1	11.65	12.02	Primary Tumor
TCGA-RD-A8N4-01	TCGA-RD-A8N4-01	10.9	11.09	11.22	11.12	10.14	9.817	10.36	Primary Tumor
TCGA-BR-7715-01	TCGA-BR-7715-01	10.9	11.04	10.97	11.11	12.28	10.76	11.32	Primary Tumor
TCGA-BR-4369-01	TCGA-BR-4369-01	10.89	11.42	10.6	10.85	12.18	11.33	11.64	Primary Tumor
TCGA-D7-6525-01	TCGA-D7-6525-01	10.88	12.65	11.2	11.62	12.35	11.84	11.84	Primary Tumor
TCGA-D7-6521-01	TCGA-D7-6521-01	10.88	11.21	10.8	11.81	11.79	10.15	11.09	Primary Tumor
TCGA-VQ-A91Q-01	TCGA-VQ-A91Q-01	10.86	11.76	10.9	11.18	11.36	11.42	11.3	Primary Tumor
TCGA-BR-6563-01	TCGA-BR-6563-01	10.86	11.44	10.87	11.52	10.7	10.23	11.53	Primary Tumor
TCGA-VQ-A8PF-01	TCGA-VQ-A8PF-01	10.86	11.42	10.95	11.49	11.77	11.74	11.67	Primary Tumor
TCGA-D7-A6F2-01	TCGA-D7-A6F2-01	10.84	11.74	11.34	10.96	12.94	11.91	10.61	Primary Tumor
TCGA-BR-8678-01	TCGA-BR-8678-01	10.83	11.77	9.751	11.68	11.24	11.41	11.54	Primary Tumor
TCGA-VQ-A91K-01	TCGA-VQ-A91K-01	10.82	12.26	11.23	11.37	12.45	12.08	11.97	Primary Tumor
TCGA-BR-A4PE-01	TCGA-BR-A4PE-01	10.82	11.7	11.15	11.63	12.1	11.44	11.37	Primary Tumor
TCGA-BR-6452-01	TCGA-BR-6452-01	10.82	11.69	10.9	11.51	11.8	11.61	11.75	Primary Tumor
TCGA-BR-7901-01	TCGA-BR-7901-01	10.82	11.6	11.02	11.24	12.41	12.32	10.94	Primary Tumor
TCGA-VQ-A8E2-01	TCGA-VQ-A8E2-01	10.82	11.13	10.94	10.92	12.21	10.31	11.26	Primary Tumor
TCGA-FP-7829-01	TCGA-FP-7829-01	10.81	12	10.59	11.48	11.77	12.4	11.55	Primary Tumor
TCGA-B7-A5TI-01	TCGA-B7-A5TI-01	10.81	11.99	11.18	11.02	11.38	11.21	11.68	Primary Tumor
TCGA-MX-A5UJ-01	TCGA-MX-A5UJ-01	10.8	11.82	11.09	10.84	11.31	11.21	11.19	Primary Tumor
TCGA-BR-A4J6-01	TCGA-BR-A4J6-01	10.8	11.41	11.14	10.92	11.16	11.52	10.74	Primary Tumor
TCGA-BR-4191-01	TCGA-BR-4191-01	10.79	11.53	11.2	11.99	11.83	11.47	12.27	Primary Tumor
TCGA-BR-8296-01	TCGA-BR-8296-01	10.78	11.96	11.58	11.62	12.87	11.58	11.36	Primary Tumor
TCGA-F1-A72C-01	TCGA-F1-A72C-01	10.78	11.67	11.3	11.05	11.58	11.59	11.72	Primary Tumor
TCGA-CG-4477-01	TCGA-CG-4477-01	10.77	11.22	11.1	11.27	10.43	12.08	12.25	Primary Tumor
TCGA-VQ-AA6J-01	TCGA-VQ-AA6J-01	10.76	13.16	10.88	11.66	12.03	11.56	11.6	Primary Tumor
TCGA-CG-4441-01	TCGA-CG-4441-01	10.76	11.59	10.87	11.83	12.61	10.71	10.71	Primary Tumor
TCGA-BR-4267-01	TCGA-BR-4267-01	10.75	12.1	10.92	11.71	11.97	11.68	11.76	Primary Tumor
TCGA-BR-8369-01	TCGA-BR-8369-01	10.75	11.51	10.83	11.18	12.4	11.87	10.93	Primary Tumor
TCGA-CG-4472-01	TCGA-CG-4472-01	10.75	11.42	11.1	11.07	10.57	11.6	11.36	Primary Tumor
TCGA-BR-6565-01	TCGA-BR-6565-01	10.74	11.67	10.62	11.5	12.29	11.12	11.4	Primary Tumor
TCGA-BR-6566-01	TCGA-BR-6566-01	10.74	11.57	11.48	11.71	11.3	11	12.12	Primary Tumor
TCGA-BR-6453-01	TCGA-BR-6453-01	10.74	10.79	10.54	11.83	11.17	10.02	11.53	Primary Tumor
TCGA-HU-A4GY-01	TCGA-HU-A4GY-01	10.73	11.21	10.42	11.31	10.38	11.12	11.7	Primary Tumor
TCGA-RD-A7BS-01	TCGA-RD-A7BS-01	10.72	11.62	11.83	11.16	11.01	11.69	12.07	Primary Tumor
TCGA-B7-A5TN-01	TCGA-B7-A5TN-01	10.71	12.31	11.56	11.24	11.81	11.41	11.41	Primary Tumor
TCGA-IN-AB1X-01	TCGA-IN-AB1X-01	10.7	11.65	11.47	11.26	12.17	12.7	11.73	Primary Tumor
TCGA-CD-8528-01	TCGA-CD-8528-01	10.69	12.22	10.47	10.98	12.11	11.63	12	Primary Tumor
TCGA-CG-4306-01	TCGA-CG-4306-01	10.69	11.95	11.47	11.19	10.49	12.04	12.29	Primary Tumor
TCGA-BR-7704-11	TCGA-BR-7704-11	10.69	11.26	10.91	11.26	11.32	10.45	10.52	Solid Tissue Normal
TCGA-IN-8663-01	TCGA-IN-8663-01	10.68	12.16	10.52	10.73	11.92	11.14	11.84	Primary Tumor
TCGA-BR-4367-01	TCGA-BR-4367-01	10.68	11.49	11.66	11.41	11.69	11.96	12.28	Primary Tumor
TCGA-VQ-A924-01	TCGA-VQ-A924-01	10.67	12.08	10.65	11.15	11.5	12.04	11.93	Primary Tumor
TCGA-BR-4357-01	TCGA-BR-4357-01	10.65	11.99	11.16	11.7	11.63	11.7	12.43	Primary Tumor
TCGA-IN-AB1V-11	TCGA-IN-AB1V-11	10.65	11.61	11.37	10.62	10.77	10.93	11.5	Solid Tissue Normal
TCGA-FP-A4BF-01	TCGA-FP-A4BF-01	10.65	11.22	11.14	11.18	10.94	11.26	11.6	Primary Tumor
TCGA-IN-A7NU-01	TCGA-IN-A7NU-01	10.64	12.54	10.45	11.19	11.53	11.07	12	Primary Tumor
TCGA-HU-8602-01	TCGA-HU-8602-01	10.64	11.86	11.27	11.27	11.96	11.86	11.56	Primary Tumor
TCGA-VQ-A91Z-01	TCGA-VQ-A91Z-01	10.64	11.03	11.03	11.69	12.36	11.67	11.41	Primary Tumor
TCGA-BR-8677-01	TCGA-BR-8677-01	10.63	11.68	10.78	11.14	11.54	11.97	11.23	Primary Tumor
TCGA-CG-4469-01	TCGA-CG-4469-01	10.63	11.57	11.57	10.5	12	11.99	12.22	Primary Tumor
TCGA-B7-5818-01	TCGA-B7-5818-01	10.62	12.23	10.19	12.13	11.59	11.13	11.36	Primary Tumor
TCGA-CG-4460-01	TCGA-CG-4460-01	10.62	11.39	10.63	11.38	10.81	10.96	11.71	Primary Tumor
TCGA-ZQ-A9CR-01	TCGA-ZQ-A9CR-01	10.6	11.77	11.32	10.81	11.62	11.19	12.12	Primary Tumor
TCGA-BR-8682-01	TCGA-BR-8682-01	10.6	11.4	11.74	11.08	11.76	11.41	10.97	Primary Tumor
TCGA-BR-8081-01	TCGA-BR-8081-01	10.6	10.77	10.03	11.76	10.9	11.09	11.98	Primary Tumor
TCGA-ZA-A8F6-01	TCGA-ZA-A8F6-01	10.57	11.18	11.4	10.94	11.49	11.06	10.88	Primary Tumor
TCGA-CG-5724-01	TCGA-CG-5724-01	10.54	12.81	10.95	12.05	11.87	11.18	11.26	Primary Tumor
TCGA-VQ-A8P3-01	TCGA-VQ-A8P3-01	10.54	12.12	10.87	11.16	11.89	11.38	11.65	Primary Tumor
TCGA-CD-5804-01	TCGA-CD-5804-01	10.54	11.99	11.13	11.57	13.37	10.52	11.7	Primary Tumor
TCGA-HU-A4HD-01	TCGA-HU-A4HD-01	10.53	12.05	10.71	11.28	12.56	11.45	10.76	Primary Tumor
TCGA-CG-4474-01	TCGA-CG-4474-01	10.53	11.38	11.21	11.34	10.85	11.29	11.98	Primary Tumor
TCGA-VQ-A91W-01	TCGA-VQ-A91W-01	10.52	11.29	10.99	11.23	12.09	11.39	11.49	Primary Tumor
TCGA-FP-8631-01	TCGA-FP-8631-01	10.51	12.44	10.76	11.4	11.87	12.27	11.47	Primary Tumor
TCGA-CD-8524-01	TCGA-CD-8524-01	10.51	12.44	10.47	11.51	12.84	12.13	12.36	Primary Tumor
TCGA-D7-A747-01	TCGA-D7-A747-01	10.51	11.21	11.33	11.23	10.53	10.09	11.13	Primary Tumor
TCGA-BR-7851-01	TCGA-BR-7851-01	10.5	11.71	11.16	11.53	11.24	11.8	11.79	Primary Tumor
